clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,25,29,5,logic,[],0
1,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,27,33,7,logic,[],0
1,2,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/RestStatusController.java,14,app-sql-rest-api,33,39,7,logic,[],0
1,3,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,48,52,5,logic,[],0
1,4,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,58,62,5,logic,[],0
1,5,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,73,77,5,logic,[],0
1,6,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,83,87,5,logic,[],0
1,7,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,20,26,7,logic,[],0
1,8,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,32,36,5,logic,[],0
1,9,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,42,46,5,logic,[],0
2,0,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/ActorsAPIController.java,12,app-sql-rest-api,47,58,12,logic,[],0
2,1,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/MoviesAPIController.java,13,app-sql-rest-api,61,72,12,logic,[],0
3,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/ActorsSchema.java,17,app-streams-to-redis-hashes,7,14,8,logic,[],0
3,1,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/CommentsSchema.java,18,app-streams-to-redis-hashes,8,15,8,logic,[],0
4,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,32,47,16,config,[],0
4,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,28,44,17,config,[],0
5,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,44,60,17,config,[],0
5,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,16,31,16,config,[],0
6,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,34,41,8,logic,[],0
6,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,29,36,8,logic,[],0
6,2,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,39,46,8,logic,[],0
7,0,caching-service/src/main/java/io/redis/demos/services/caching/listener/CDCEventListener.java,2,app-caching,126,129,4,logic,[],0
7,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/listener/CDCEventListener.java,7,app-db-to-streams,107,110,4,logic,[],0
7,2,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,178,181,4,logic,[],0
8,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,70,78,9,logic,[],0
8,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,33,42,10,logic,[],0
9,0,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/ActorsAPIController.java,12,app-sql-rest-api,45,51,7,logic,[],0
9,1,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/MoviesAPIController.java,13,app-sql-rest-api,56,62,7,logic,[],0
10,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,65,72,8,config,[],0
10,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,52,58,7,config,[],0
11,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,68,74,7,config,[],0
11,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,49,56,8,config,[],0
12,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,95,99,5,logic,[],0
12,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,86,91,6,logic,[],0
13,0,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/Application.java,11,app-sql-rest-api,14,25,12,logic,"[""bd2e8ed32e089f916945dd154821a08a0daf18d9""]",1
13,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/GraphServiceApplication.java,24,app-streams-to-redisgraph,8,18,11,logic,[],0
14,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/CommentsSchema.java,18,app-streams-to-redis-hashes,7,15,9,logic,[],0
14,1,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/MoviesSchema.java,20,app-streams-to-redis-hashes,17,25,9,logic,[],0
15,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,47,51,5,logic,[],0
15,1,caching-service/src/main/java/io/redis/demos/services/caching/service/WebServiceCachingService.java,5,app-caching,58,62,5,logic,[],0
15,2,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,46,50,5,logic,[],0
15,3,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,140,144,5,logic,[],0
16,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,752,757,6,logic,[],0
16,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,210,215,6,logic,[],0
17,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,140,148,9,logic,[],0
17,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,65,71,7,logic,[],0
18,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,32,50,19,config,[],0
18,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,25,44,20,config,[],0
19,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,41,60,20,config,[],0
19,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,16,34,19,config,[],0
20,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,44,63,20,logic,[],0
20,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,26,45,20,logic,[],0
21,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,25,30,6,logic,[],0
21,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,27,34,8,logic,[],0
21,2,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/RestStatusController.java,14,app-sql-rest-api,33,40,8,logic,[],0
21,3,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,37,42,6,logic,[],0
21,4,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,20,27,8,logic,[],0
22,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,69,78,10,logic,[],0
22,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,42,51,10,logic,[],0
23,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/ActorsSchema.java,17,app-streams-to-redis-hashes,7,15,9,logic,[],0
23,1,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/schemas/MoviesSchema.java,20,app-streams-to-redis-hashes,18,26,9,logic,[],0
24,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,170,187,18,logic,[],0
24,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,129,145,17,logic,[],0
25,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,65,73,9,config,[],0
25,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,51,58,8,config,[],0
26,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,67,74,8,config,[],0
26,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,49,57,9,config,[],0
27,0,caching-service/src/main/java/io/redis/demos/services/caching/listener/CDCEventListener.java,2,app-caching,110,119,10,logic,[],0
27,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/listener/CDCEventListener.java,7,app-db-to-streams,90,99,10,logic,[],0
28,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,190,206,17,logic,[],0
28,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,131,147,17,logic,[],0
29,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,43,51,9,logic,[],0
29,1,caching-service/src/main/java/io/redis/demos/services/caching/service/WebServiceCachingService.java,5,app-caching,54,62,9,logic,[],0
29,2,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,42,50,9,logic,[],0
29,3,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,61,69,9,logic,[],0
30,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,32,53,22,config,[],0
30,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,22,44,23,config,[],0
31,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,38,60,23,config,[],0
31,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,16,37,22,config,[],0
32,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,315,324,10,logic,[],0
32,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,117,129,13,logic,[],0
33,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,40,63,24,logic,[],0
33,1,caching-service/src/main/java/io/redis/demos/services/caching/service/WebServiceCachingService.java,5,app-caching,51,71,21,logic,[],0
33,2,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,39,63,25,logic,[],0
34,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,67,71,5,logic,[],0
34,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,65,71,7,logic,[],0
35,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,32,56,25,config,[],0
35,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,19,44,26,config,[],0
36,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,35,60,26,config,[],0
36,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,16,40,25,config,[],0
37,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,29,41,13,logic,[],0
37,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,43,55,13,logic,[],0
38,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,95,101,7,logic,[],0
38,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,69,75,7,logic,[],0
38,2,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,73,80,8,logic,[],0
39,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,292,313,22,logic,[],0
39,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,99,117,19,logic,[],0
40,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,23,35,13,logic,[],0
40,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,25,40,16,logic,[],0
40,2,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/RestStatusController.java,14,app-sql-rest-api,31,46,16,logic,[],0
41,0,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/RestStatusController.java,14,app-sql-rest-api,31,47,17,logic,[],0
41,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,18,34,17,logic,[],0
42,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,739,747,9,logic,[],0
42,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,207,215,9,logic,[],0
43,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,23,35,13,logic,[],0
43,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,24,40,17,logic,[],0
43,2,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,17,33,17,logic,[],0
44,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,38,54,17,logic,[],0
44,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,33,49,17,logic,[],0
45,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,70,84,15,logic,[],0
45,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,39,53,15,logic,[],0
46,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,44,59,16,logic,[],0
46,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,38,53,16,logic,[],0
47,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,54,69,16,logic,[],0
47,1,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,79,94,16,logic,[],0
47,2,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,27,43,17,logic,[],0
48,0,caching-service/src/main/java/io/redis/demos/services/caching/listener/CDCEventListener.java,2,app-caching,134,139,6,logic,[],0
48,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/listener/CDCEventListener.java,7,app-db-to-streams,139,143,5,logic,[],0
49,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,334,348,15,logic,[],0
49,1,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,378,392,15,logic,[],0
49,2,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,158,173,16,logic,[],0
50,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/StreamsToRediSearch.java,22,app-streams-to-redis-hashes,215,241,27,logic,[],0
50,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RedisStreamToGraphService.java,25,app-streams-to-redisgraph,76,103,28,logic,[],0
51,0,caching-service/src/main/java/io/redis/demos/services/caching/listener/CDCEventListener.java,2,app-caching,120,134,15,logic,[],0
51,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/listener/CDCEventListener.java,7,app-db-to-streams,100,115,16,logic,[],0
52,0,caching-service/src/main/java/io/redis/demos/services/caching/service/RedisCacheService.java,4,app-caching,19,65,47,logic,"[""bd2e8ed32e089f916945dd154821a08a0daf18d9""]",1
52,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/service/RedisStreamsDebeziumProducer.java,10,app-db-to-streams,18,65,48,logic,"[""bd2e8ed32e089f916945dd154821a08a0daf18d9""]",1
53,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,70,94,25,logic,[],0
53,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,29,53,25,logic,[],0
54,0,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/ActorsAPIController.java,12,app-sql-rest-api,16,44,29,logic,[],0
54,1,sql-rest-api/src/main/java/io/redis/demos/debezium/sql/controllers/MoviesAPIController.java,13,app-sql-rest-api,13,42,30,logic,[],0
55,0,streams-to-redisearch-service/src/main/java/io/redis/demos/services/search/service/RestStatusController.java,16,app-streams-to-redis-hashes,43,69,27,logic,[],0
55,1,streams-to-redisgraph-service/src/main/java/io/redis/demos/services/graph/service/RestStatusController.java,26,app-streams-to-redisgraph,26,53,28,logic,[],0
56,0,caching-service/src/main/java/io/redis/demos/services/caching/RestStatusController.java,3,app-caching,21,50,30,logic,[],0
56,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/RestStatusController.java,9,app-db-to-streams,22,55,34,logic,[],0
57,0,caching-service/src/main/java/io/redis/demos/services/caching/config/ConnectorConfig.java,1,app-caching,26,87,62,config,[],0
57,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/config/ConnectorConfig.java,6,app-db-to-streams,10,71,62,config,[],0
58,0,caching-service/src/main/java/io/redis/demos/services/caching/listener/CDCEventListener.java,2,app-caching,46,110,65,logic,[],0
58,1,db-to-streams-service/src/main/java/io/redis/demos/services/db/events/streams/listener/CDCEventListener.java,7,app-db-to-streams,27,90,64,logic,[],0
